entry_validity,rr,sweep_lookback,swing_lookback,sharpe,cagr,pf,winrate,total_return,max_dd,n_trades,asset,tf
3,2.0,5,5,-1.6251725942397695,-0.2369647951976328,0.7801315650882219,0.3127853881278539,-0.41666251058850745,-0.4837487704595474,876,Gold,1h / 1h  (≈2 yr)
3,2.0,5,10,-1.7632193262935676,-0.23458362010962375,0.7328251972842575,0.29154078549848944,-0.41302896673550216,-0.4878775628758458,662,Gold,1h / 1h  (≈2 yr)
3,2.0,5,15,-1.757415275563994,-0.22311647966523096,0.7094241337813428,0.28153564899451555,-0.3951120611162673,-0.4464685323528721,547,Gold,1h / 1h  (≈2 yr)
3,2.0,5,20,-1.2938395089614365,-0.16572275161611216,0.7585297490197757,0.29004329004329005,-0.30308894378774376,-0.39512609884372546,462,Gold,1h / 1h  (≈2 yr)
3,2.0,10,5,-1.6251725942397695,-0.2369647951976328,0.7801315650882219,0.3127853881278539,-0.41666251058850745,-0.4837487704595474,876,Gold,1h / 1h  (≈2 yr)
3,2.0,10,10,-1.7632193262935676,-0.23458362010962375,0.7328251972842575,0.29154078549848944,-0.41302896673550216,-0.4878775628758458,662,Gold,1h / 1h  (≈2 yr)
3,2.0,10,15,-1.757415275563994,-0.22311647966523096,0.7094241337813428,0.28153564899451555,-0.3951120611162673,-0.4464685323528721,547,Gold,1h / 1h  (≈2 yr)
3,2.0,10,20,-1.2938395089614365,-0.16572275161611216,0.7585297490197757,0.29004329004329005,-0.30308894378774376,-0.39512609884372546,462,Gold,1h / 1h  (≈2 yr)
3,2.0,15,5,-1.6251725942397695,-0.2369647951976328,0.7801315650882219,0.3127853881278539,-0.41666251058850745,-0.4837487704595474,876,Gold,1h / 1h  (≈2 yr)
3,2.0,15,10,-1.7632193262935676,-0.23458362010962375,0.7328251972842575,0.29154078549848944,-0.41302896673550216,-0.4878775628758458,662,Gold,1h / 1h  (≈2 yr)
3,2.0,15,15,-1.757415275563994,-0.22311647966523096,0.7094241337813428,0.28153564899451555,-0.3951120611162673,-0.4464685323528721,547,Gold,1h / 1h  (≈2 yr)
3,2.0,15,20,-1.2938395089614365,-0.16572275161611216,0.7585297490197757,0.29004329004329005,-0.30308894378774376,-0.39512609884372546,462,Gold,1h / 1h  (≈2 yr)
3,3.0,5,5,-1.1503203086057292,-0.21235036369165106,0.8033079837146617,0.25065963060686014,-0.37855976648225853,-0.40614868022383804,758,Gold,1h / 1h  (≈2 yr)
3,3.0,5,10,-1.0993677896321559,-0.1945129729611369,0.778865855225667,0.22782608695652173,-0.35019727587163085,-0.41243657545413603,575,Gold,1h / 1h  (≈2 yr)
3,3.0,5,15,-0.8071614904403431,-0.14828244680990765,0.8145821221470015,0.23236514522821577,-0.27355376926074026,-0.3354389582993324,482,Gold,1h / 1h  (≈2 yr)
3,3.0,5,20,-0.4317121098390154,-0.08632200131816248,0.8839571952485136,0.24754901960784315,-0.16465931162623493,-0.28029609588053955,408,Gold,1h / 1h  (≈2 yr)
3,3.0,10,5,-1.1503203086057292,-0.21235036369165106,0.8033079837146617,0.25065963060686014,-0.37855976648225853,-0.40614868022383804,758,Gold,1h / 1h  (≈2 yr)
3,3.0,10,10,-1.0993677896321559,-0.1945129729611369,0.778865855225667,0.22782608695652173,-0.35019727587163085,-0.41243657545413603,575,Gold,1h / 1h  (≈2 yr)
